disease,tip
Arthritis ,"NSAIDs.Nonsteroidal anti-inflammatory drugs, also called NSAIDs, can relieve pain and reduce inflammation. Examples include ibuprofen (Advil, Motrin IB, others) and naproxen sodium (Aleve). Stronger NSAIDs are available by prescription. NSAIDs you take by mouth can cause stomach irritation and may increase your risk of heart attack or stroke. They can affect liver and kidney function and need to be used with caution. NSAIDs also are available as creams or gels, which can be rubbed on joints."
Arthritis ,"Counterirritants.Some creams and ointments contain menthol or capsaicin, the ingredient that makes hot peppers spicy. When applied to the skin over a painful joint, these ingredients may help block pain signals, providing temporary relief."
Arthritis ,"Steroids.Corticosteroid medicines, such as prednisone, reduce inflammation and pain. And they may slow joint damage. Corticosteroids may be given as a pill or as an injection into a painful joint. Side effects may include thinning of bones, weight gain and diabetes."
Arthritis ,"Disease-modifying antirheumatic drugs, also called DMARDs.These medicines can slow the progression of rheumatoid arthritis and change the course of the condition. This may save the joints and other tissues from permanent damage. In addition to conventional DMARDs, there also are biologic agents and targeted synthetic DMARDs. Side effects vary, but most DMARDs increase your risk of infections."
Asthma ,"Inhaled corticosteroids.These medications include fluticasone propionate (Flovent HFA, Flovent Diskus, Xhance), budesonide (Pulmicort Flexhaler, Pulmicort Respules, Rhinocort), ciclesonide (Alvesco), beclomethasone (Qvar Redihaler), mometasone (Asmanex HFA, Asmanex Twisthaler) and fluticasone furoate (Arnuity Ellipta).You may need to use these medications for several days to weeks before they reach their maximum benefit. Unlike oral corticosteroids, inhaled corticosteroids have a relatively low risk of serious side effects."
Asthma ,"Leukotriene modifiers.These oral medications — including montelukast (Singulair), zafirlukast (Accolate) and zileuton (Zyflo) — help relieve asthma symptoms.Montelukast has been linked to psychological reactions, such as agitation, aggression, hallucinations, depression and suicidal thinking. Seek medical advice right away if you experience any of these reactions."
Asthma ,"Combination inhalers.These medications — such as fluticasone-salmeterol (Advair HFA, Airduo Digihaler, others), budesonide-formoterol (Symbicort), formoterol-mometasone (Dulera) and fluticasone furoate-vilanterol (Breo Ellipta) — contain a long-acting beta agonist along with a corticosteroid."
Asthma ,"Theophylline.Theophylline (Theo-24, Elixophyllin, Theochron) is a daily pill that helps keep the airways open by relaxing the muscles around the airways. It's not used as often as other asthma medications and requires regular blood tests."
Cancer ,"Cure.The goal of treatment is to achieve a cure for your cancer, allowing you to live a normal life span. This may or may not be possible, depending on your specific situation."
Cancer ,"Primary treatment.The goal of a primary treatment is to completely remove the cancer from your body or kill the cancer cells.Any cancer treatment can be used as a primary treatment, but the most common primary cancer treatment for the most common cancers is surgery. If your cancer is particularly sensitive to radiation therapy or chemotherapy, you may receive one of those therapies as your primary treatment."
Cancer ,"Adjuvant treatment.The goal of adjuvant therapy is to kill any cancer cells that may remain after primary treatment in order to reduce the chance that the cancer will recur.Any cancer treatment can be used as an adjuvant therapy. Common adjuvant therapies include chemotherapy, radiation therapy and hormone therapy."
Cancer ,"Palliative treatment.Palliative treatments may help relieve side effects of treatment or signs and symptoms caused by cancer itself. Surgery, radiation, chemotherapy and hormone therapy can all be used to relieve symptoms and control the spread of cancer when a cure isn't possible. Medications may relieve symptoms such as pain and shortness of breath.Palliative treatment can be used at the same time as other treatments intended to cure your cancer."
Types of Cancer,"Cure.The goal of treatment is to achieve a cure for your cancer, allowing you to live a normal life span. This may or may not be possible, depending on your specific situation."
Types of Cancer,"Primary treatment.The goal of a primary treatment is to completely remove the cancer from your body or kill the cancer cells.Any cancer treatment can be used as a primary treatment, but the most common primary cancer treatment for the most common cancers is surgery. If your cancer is particularly sensitive to radiation therapy or chemotherapy, you may receive one of those therapies as your primary treatment."
Types of Cancer,"Adjuvant treatment.The goal of adjuvant therapy is to kill any cancer cells that may remain after primary treatment in order to reduce the chance that the cancer will recur.Any cancer treatment can be used as an adjuvant therapy. Common adjuvant therapies include chemotherapy, radiation therapy and hormone therapy."
Types of Cancer,"Palliative treatment.Palliative treatments may help relieve side effects of treatment or signs and symptoms caused by cancer itself. Surgery, radiation, chemotherapy and hormone therapy can all be used to relieve symptoms and control the spread of cancer when a cure isn't possible. Medications may relieve symptoms such as pain and shortness of breath.Palliative treatment can be used at the same time as other treatments intended to cure your cancer."
Bladder Cancer ,"Surgery,to remove the cancer cells"
Bladder Cancer ,"Chemotherapy in the bladder (intravesical chemotherapy),to treat cancers that are confined to the lining of the bladder but have a high risk of recurrence or progression to a higher stage"
Bladder Cancer ,"Chemotherapy for the whole body (systemic chemotherapy),to increase the chance for a cure in a person having surgery to remove the bladder, or as a primary treatment when surgery isn't an option"
Bladder Cancer ,"Radiation therapy,to destroy cancer cells, often as a primary treatment when surgery isn't an option or isn't desired"
Bladder Cancer ,"Immunotherapy,to trigger the body's immune system to fight cancer cells, either in the bladder or throughout the body"
Bladder Cancer ,"Targeted therapy,to treat advanced cancer when other treatments haven't helped"
Breast Cancer ,Removing the breast cancer.A lumpectomy is surgery to remove the breast cancer and some of the healthy tissue around it. The rest of the breast tissue isn't removed. Other names for this surgery are breast-conserving surgery and wide local excision. Most people who have a lumpectomy also have radiation therapy.Lumpectomy might be used to remove a small cancer. Sometimes you can have chemotherapy before surgery to shrink the cancer so that lumpectomy is possible.
Breast Cancer ,"Removing all of the breast tissue.A mastectomy is surgery to remove all breast tissue from a breast. The most common mastectomy procedure is total mastectomy, also called simple mastectomy. This procedure removes all of the breast, including the lobules, ducts, fatty tissue and some skin, including the nipple and areola.Mastectomy might be used to remove a large cancer. It also might be needed when there are multiple areas of cancer within one breast. You might have a mastectomy if you can't have or don't want radiation therapy after surgery.Some newer types of mastectomy procedures might not remove the skin or nipple. For instance, a skin-sparing mastectomy leaves some skin. A nipple-sparing mastectomy leaves the nipple and the skin around it, called the areola. These newer operations can improve the look of the breast after surgery, but they aren't options for everyone."
Breast Cancer ,"Removing a few lymph nodes.A sentinel node biopsy is an operation to take out some lymph nodes for testing. When breast cancer spreads, it often goes to the nearby lymph nodes first. To see if the cancer has spread, a surgeon removes some of the lymph nodes near the cancer. If no cancer is found in those lymph nodes, the chance of finding cancer in any of the other lymph nodes is small. No other lymph nodes need to be removed."
Breast Cancer ,Removing several lymph nodes.Axillary lymph node dissection is an operation to remove many lymph nodes from the armpit. Your breast cancer surgery might include this operation if imaging tests show the cancer has spread to the lymph nodes. It also might be used if cancer is found in a sentinel node biopsy.
Breast Cancer ,"Removing both breasts.Some people who have cancer in one breast may choose to have their other breast removed, even if it doesn't have cancer. This procedure is called a contralateral prophylactic mastectomy. It might be an option if you have a high risk of getting cancer in the other breast. The risk might be high if you have a strong family history of cancer or have DNA changes that increase the risk of cancer. Most people with breast cancer in one breast will never get cancer in the other breast."
Cervical Cancer ,"Surgery to cut away the cancer only.For a very small cervical cancer, it might be possible to remove all the cancer with a cone biopsy. This procedure involves cutting away a cone-shaped piece of cervical tissue and leaving the rest of the cervix intact. This option may make it possible for you to consider becoming pregnant in the future."
Cervical Cancer ,"Surgery to remove the cervix, called a trachelectomy.A small cervical cancer might be treated with a radical trachelectomy procedure. This procedure removes the cervix and some surrounding tissue. The uterus remains after this procedure, so it may be possible to become pregnant, if you choose."
Cervical Cancer ,"Surgery to remove the cervix and uterus, called a hysterectomy.Most cervical cancers that have not spread beyond the cervix are treated with a radical hysterectomy operation. This involves removing the cervix, uterus, part of the vagina and nearby lymph nodes. A hysterectomy can often cure the cancer and stop it from coming back. But removing the uterus makes it impossible to become pregnant."
Colorectal Cancer ,"Removing very small cancers from the inside of the rectum.Very small rectal cancers may be removed using a colonoscope or another specialized type of scope inserted through the anus. This procedure is called transanal local excision. Surgical tools can be passed through the scope to cut away the cancer and some of the healthy tissue around it.This procedure might be an option if your cancer is small and not likely to spread to nearby lymph nodes. If a lab exam of your cancer cells shows that they are aggressive or more likely to spread to the lymph nodes, additional surgery may be needed."
Colorectal Cancer ,"Removing all or part of the rectum.Larger rectal cancers that are far enough away from the anus might be removed in a procedure that removes all or part of the rectum. This procedure is called low anterior resection. Nearby tissue and lymph nodes also are removed. This procedure preserves the anus so that waste can leave the body as it usually would.How the procedure is performed depends on the cancer's location. If cancer affects the upper portion of the rectum, that part of the rectum is removed. The colon is then attached to the remaining rectum. This is called colorectal anastomosis. All of the rectum may be removed if the cancer is in the lower portion of the rectum. Then the colon is shaped into a pouch and attached to the anus, called coloanal anastomosis."
Colorectal Cancer ,"Removing the rectum and anus.For rectal cancers that are located near the anus, it might not be possible to remove the cancer completely without hurting the muscles that control bowel movements. In these situations, surgeons may recommend an operation called abdominoperineal resection, also known as APR. With APR, the rectum, anus and some of the colon are removed, as well as nearby tissue and lymph nodes.The surgeon creates an opening in the abdomen and attaches the remaining colon. This is called a colostomy. Waste leaves the body through the opening and collects in a bag that attaches to the abdomen."
Endometrial Cancer ,"Radiation from a machine outside your body.During external beam radiation, you lie on a table while a machine directs radiation to specific points on your body."
Endometrial Cancer ,"Radiation placed inside your body.Internal radiation, called brachytherapy, involves a radiation-filled device, such as small seeds, wires or a cylinder. This device is placed inside your vagina for a short period of time."
Kidney Cancer ,"Removing the affected kidney.A complete nephrectomy, also known as a radical nephrectomy, involves removing the entire kidney and a border of healthy tissue around it. Nearby tissues such as the lymph nodes, adrenal gland or other structures also may be removed.The surgeon may perform a nephrectomy through a single incision in the abdomen or side, called an open nephrectomy. The surgeon also may use a series of small incisions in the abdomen, known as laparoscopic or robot-assisted laparoscopic nephrectomy."
Kidney Cancer ,"Removing the cancer from the kidney.A partial nephrectomy involves removing the cancer and a small margin of healthy tissue that surrounds it rather than the entire kidney. This procedure also is called kidney-sparing or nephron-sparing surgery. It can be done as an open procedure, laparoscopically or with robotic assistance.Kidney-sparing surgery is a common treatment for small kidney cancers and it may be an option if you have only one kidney. When possible, kidney-sparing surgery is generally preferred over a complete nephrectomy to preserve kidney function. It also may reduce the risk of later complications, such as kidney disease and the need for dialysis."
Leukemia ,"Chemotherapy.Chemotherapy is the major form of treatment for leukemia. This drug treatment uses chemicals to kill leukemia cells.Depending on the type of leukemia you have, you may receive a single drug or a combination of drugs. These drugs may come in a pill form, or they may be injected directly into a vein."
Leukemia ,"Targeted therapy.Targeted drug treatments focus on specific abnormalities present within cancer cells. By blocking these abnormalities, targeted drug treatments can cause cancer cells to die. Your leukemia cells will be tested to see if targeted therapy may be helpful for you."
Leukemia ,"Radiation therapy.Radiation therapy uses X-rays or other high-energy beams to damage leukemia cells and stop their growth. During radiation therapy, you lie on a table while a large machine moves around you, directing the radiation to precise points on your body.You may receive radiation in one specific area of your body where there is a collection of leukemia cells, or you may receive radiation over your whole body. Radiation therapy may be used to prepare for a bone marrow transplant."
Leukemia ,"Bone marrow transplant.A bone marrow transplant, also called a stem cell transplant, helps reestablish healthy stem cells by replacing unhealthy bone marrow with leukemia-free stem cells that will regenerate healthy bone marrow.Prior to a bone marrow transplant, you receive very high doses of chemotherapy or radiation therapy to destroy your leukemia-producing bone marrow. Then you receive an infusion of blood-forming stem cells that help rebuild your bone marrow.You may receive stem cells from a donor or you may be able to use your own stem cells."
Leukemia ,Immunotherapy.Immunotherapy uses your immune system to fight cancer. Your body's disease-fighting immune system may not attack your cancer because the cancer cells produce proteins that help them hide from the immune system cells. Immunotherapy works by interfering with that process.
Leukemia ,"Engineering immune cells to fight leukemia.A specialized treatment called chimeric antigen receptor (CAR)-T cell therapy takes your body's germ-fighting T cells, engineers them to fight cancer and infuses them back into your body.CAR-T cell therapy might be an option for certain types of leukemia."
Leukemia ,"Clinical trials.Clinical trials are experiments to test new cancer treatments and new ways of using existing treatments. While clinical trials give you or your child a chance to try the latest cancer treatment, treatment benefits and risks may be uncertain. Discuss the benefits and risks of clinical trials with your doctor."
Liver Cancer ,"Surgery to remove the tumor.In certain situations, your doctor may recommend an operation to remove the liver cancer and a small portion of healthy liver tissue that surrounds it if your tumor is small and your liver function is good.Whether this is an option for you also depends on the location of your cancer within the liver, how well your liver functions and your overall health."
Liver Cancer ,"Liver transplant surgery.During liver transplant surgery, your diseased liver is removed and replaced with a healthy liver from a donor. Liver transplant surgery is only an option for a small percentage of people with early-stage liver cancer."
Lung Cancer ,Wedge resectionto remove a small section of lung that contains the cancer along with a margin of healthy tissue.
Lung Cancer ,"Segmental resectionto remove a larger portion of lung, but not an entire lobe."
Lung Cancer ,Lobectomyto remove the entire lobe of one lung.
Lung Cancer ,Pneumonectomyto remove an entire lung.
Multiple Myeloma ,"Targeted therapy.Targeted therapy uses medicines that attack specific chemicals in the cancer cells. By blocking these chemicals, targeted treatments can cause cancer cells to die."
Multiple Myeloma ,Immunotherapy.Immunotherapy is a treatment with medicine that helps the body's immune system to kill cancer cells. The immune system fights off diseases by attacking germs and other cells that shouldn't be in the body. Cancer cells survive by hiding from the immune system. Immunotherapy helps the immune system cells find and kill the cancer cells.
Multiple Myeloma ,"CAR-T cell therapy.Chimeric antigen receptor T cell therapy, also called CAR-T cell therapy, trains your immune system cells to fight multiple myeloma. This treatment begins with removing some white blood cells, including T cells, from your blood. The cells are sent to a lab. In the lab, the cells are treated so that they make special receptors. The receptors help the cells recognize a marker on the surface of the myeloma cells.Then the cells are put back into your body. They can now find and destroy the multiple myeloma cells."
Multiple Myeloma ,"Chemotherapy.Chemotherapy uses strong medicines to kill cancer cells. The medicines kill fast-growing cells, including myeloma cells."
Multiple Myeloma ,"Corticosteroids.Corticosteroid medicines help control swelling and irritation, called inflammation, in the body. They also work against myeloma cells."
Multiple Myeloma ,"Bone marrow transplant.A bone marrow transplant, also known as a stem cell transplant, replaces diseased bone marrow with healthy bone marrow.Before a bone marrow transplant, blood-forming stem cells are collected from your blood. High doses of chemotherapy then are given to destroy your diseased bone marrow. Then the stem cells are put into your body. They travel to the bones and begin rebuilding bone marrow. This type of transplant using your own cells is called an autologous bone marrow transplant.Sometimes the stem cells come from a healthy donor. This type of transplant is called an allogenic bone marrow transplant."
Multiple Myeloma ,"Radiation therapy.Radiation therapy uses powerful energy beams to kill cancer cells. The energy can come from X-rays, protons or other sources. Radiation can quickly shrink a growth of myeloma cells. It might be used if myeloma cells form a mass called a plasmacytoma. Radiation may help control a plasmacytoma that's causing pain or destroying a bone."
Oral Cancer ,Tobacco use makes treatment less effective.
Oral Cancer ,Tobacco use makes it harder for the body to heal after surgery.
Oral Cancer ,Tobacco use increases the risk of a cancer recurrence and of getting another cancer in the future.
Oropharyngeal Cancer,A surgeon who operates on the head and neck.
Oropharyngeal Cancer,"A doctor who uses medicine to treat cancer, called a medical oncologist."
Oropharyngeal Cancer,"A doctor who uses radiation to treat cancer, called a radiation oncologist."
Ovarian Cancer ,"Surgery to remove one ovary.For early-stage cancer that hasn't spread beyond one ovary, surgery may involve removing the affected ovary and its fallopian tube. This procedure may preserve your ability to have children."
Ovarian Cancer ,"Surgery to remove both ovaries.If cancer is present in both your ovaries, but there are no signs of additional cancer, your surgeon may remove both ovaries and both fallopian tubes. This procedure leaves your uterus intact, so you may still be able to become pregnant using your own frozen embryos or eggs or with eggs from a donor."
Ovarian Cancer ,"Surgery to remove both ovaries and the uterus.If your cancer is more extensive or if you don't wish to preserve your ability to have children, your surgeon will remove the ovaries, the fallopian tubes, the uterus, nearby lymph nodes and a fold of fatty abdominal tissue (omentum)."
Ovarian Cancer ,"Surgery for advanced cancer.If your cancer is advanced, your doctor may recommend surgery to remove as much of the cancer as possible. Sometimes chemotherapy is given before or after surgery in this situation."
Pancreatic Cancer ,"Surgery for cancers in the pancreatic head.The Whipple procedure, also called pancreaticoduodenectomy, is an operation to remove the head of the pancreas. It also involves removing the first part of the small intestine and the bile duct. Sometimes the surgeon removes part of the stomach and nearby lymph nodes. The remaining organs are rejoined to allow food to move through the digestive system."
Pancreatic Cancer ,"Surgery for cancers in the body and tail of the pancreas.Surgery to remove the body and tail of the pancreas is called distal pancreatectomy. With this procedure, the surgeon also might need to remove the spleen."
Pancreatic Cancer ,"Surgery to remove the whole pancreas.This is called total pancreatectomy. After surgery, you'll take medicine to replace the hormones and enzymes made by the pancreas for the rest of your life."
Pancreatic Cancer ,"Surgery for cancers that affect nearby blood vessels.When a cancer in the pancreas grows to involve nearby blood vessels, a more-complex procedure might be needed. The procedure might need to involve taking out and rebuilding parts of the blood vessels. Few medical centers in the United States have surgeons trained to do these blood vessel operations safely."
Prostate Cancer,"Laparoscopic prostatectomy.During a laparoscopic prostatectomy for prostate cancer, a surgeon makes several small cuts in the belly. The surgeon puts surgical tools through the cuts. The surgeon uses the tools to remove the prostate."
Prostate Cancer,"Robotic prostatectomy.During arobotic prostatectomyfor prostate cancer, a surgeon uses hand controls to guide robotic arms. The arms hold the surgical tools. The surgeon sits at a console to use the hand controls that move the robotic arms. Just like in a laparoscopic prostatectomy, the surgeon makes several small cuts in the belly. The surgeon guides the robotic arms to put surgical tools through the cuts in the belly to remove the prostate. Most prostate cancer operations use robotic prostatectomy."
Prostate Cancer,"Open prostatectomy.During open prostatectomy for prostate cancer, a surgeon makes one large cut in the lower belly. The surgeon removes the prostate through this large cut. This procedure also is called retropubic prostatectomy. This way of doing prostate cancer surgery is not very common. But it might be the right choice in some situations."
Skin Cancer ,Skin creams.Some medicines for skin cancer come as skin creams that you apply to the area of cancer.
Skin Cancer ,Curettage and electrodessication.This treatment involves removing the top of the skin cancer with a scraping tool called a curet. Then an electric needle is used to sear the base of the cancer.
Skin Cancer ,Photodynamic therapy.Photodynamic therapy is a two-stage treatment that combines light energy with a medicine called a photosensitizer. The photosensitizer kills the cancer cells when activated by light.
Skin Cancer ,Surgery.Skin cancer surgery often involves removing the cancer and some of the healthy tissue around it.
Skin Cancer ,"Mohs surgery.Mohs surgery involves removing the skin cancer layer by layer. Each time a layer is removed, the surgeon uses a microscope to look for cancer cells. The surgery continues until no cancer cells are left. This kind of surgery lets the surgeon take out the cancer without removing too much of the healthy skin around it."
Skin Cancer ,Radiation therapy.Radiation therapy treats cancer with powerful energy beams.
Skin Cancer ,Chemotherapy.Chemotherapy treats cancer with strong medicines.
Skin Cancer ,"Targeted therapy.Targeted therapy for cancer is a treatment that uses medicines that attack specific chemicals in the cancer cells. By blocking these chemicals, targeted treatments can cause cancer cells to die."
Skin Cancer ,Immunotherapy.Immunotherapy for cancer is a treatment with medicine that helps the body's immune system kill cancer cells. The immune system fights off diseases by attacking germs and other cells that shouldn't be in the body. Cancer cells survive by hiding from the immune system. Immunotherapy helps the immune system cells find and kill the cancer cells.
Stomach Cancer ,"Removing small cancers from the stomach lining.Very small cancers can be cut away from the inside lining of the stomach. To remove the cancer, a tube is passed down the throat and into the stomach. Special cutting tools are passed through the tube to cut out the cancer. This procedure is called an endoscopic mucosal resection. It might be an option for treating stage 1 cancer that's growing on the inner lining of the stomach."
Stomach Cancer ,Removing part of the stomach.This procedure is called a subtotal gastrectomy. The surgeon removes the part of the stomach affected by cancer and some of the healthy tissue around it. It might be an option if your stomach cancer is located in the part of the stomach nearest the small intestine.
Stomach Cancer ,Removing the entire stomach.This procedure is called a total gastrectomy. It involves removing all of the stomach and some surrounding tissue. The surgeon connects the esophagus to the small intestine to allow food to move through the digestive system. Total gastrectomy is a treatment for cancers in the part of the stomach that is closest to the esophagus.
Stomach Cancer ,Removing lymph nodes to look for cancer.The surgeon may remove lymph nodes in your belly to test them for cancer.
Stomach Cancer ,Surgery to relieve symptoms.An operation to remove part of the stomach may relieve symptoms of a growing cancer. This might be an option if the cancer is advanced and other treatments haven't helped.
Testicular Cancer ,"Surgery to remove the testicle.This procedure is called a radical inguinal orchiectomy. It's the first treatment for most testicular cancers. To remove the testicle, a surgeon makes a cut in the groin. The entire testicle is pulled out through the opening. A prosthetic, gel-filled testicle can be inserted if you choose. This might be the only treatment needed if the cancer hasn't spread beyond the testicle."
Testicular Cancer ,"Surgery to remove nearby lymph nodes.If there's concern that your cancer may have spread beyond your testicle, you might have surgery to remove some lymph nodes. To remove the lymph nodes, the surgeon makes a cut in the belly. The lymph nodes are tested in a lab to look for cancer. Surgery to remove lymph nodes is often used to treat the nonseminoma type of testicular cancer."
Thyroid Cancer ,"Removing all or most of the thyroid (thyroidectomy).An operation to remove the thyroid gland might involve removing all of the thyroid tissue (total thyroidectomy) or most of the thyroid tissue (near-total thyroidectomy). The surgeon often leaves small rims of thyroid tissue around the parathyroid glands to reduce the risk of damage to the parathyroid glands, which help regulate the calcium levels in your blood."
Thyroid Cancer ,"Removing a portion of the thyroid (thyroid lobectomy).During a thyroid lobectomy, the surgeon removes half of the thyroid. Lobectomy might be recommended if you have a slow-growing thyroid cancer in one part of the thyroid, no suspicious nodules in other areas of the thyroid and no signs of cancer in the lymph nodes."
Thyroid Cancer ,"Removing lymph nodes in the neck (lymph node dissection).Thyroid cancer often spreads to nearby lymph nodes in the neck. An ultrasound examination of the neck before surgery may reveal signs that cancer cells have spread to the lymph nodes. If so, the surgeon may remove some of the lymph nodes in the neck for testing."
Female Breast Cancer,Removing the breast cancer.A lumpectomy is surgery to remove the breast cancer and some of the healthy tissue around it. The rest of the breast tissue isn't removed. Other names for this surgery are breast-conserving surgery and wide local excision. Most people who have a lumpectomy also have radiation therapy.Lumpectomy might be used to remove a small cancer. Sometimes you can have chemotherapy before surgery to shrink the cancer so that lumpectomy is possible.
Female Breast Cancer,"Removing all of the breast tissue.A mastectomy is surgery to remove all breast tissue from a breast. The most common mastectomy procedure is total mastectomy, also called simple mastectomy. This procedure removes all of the breast, including the lobules, ducts, fatty tissue and some skin, including the nipple and areola.Mastectomy might be used to remove a large cancer. It also might be needed when there are multiple areas of cancer within one breast. You might have a mastectomy if you can't have or don't want radiation therapy after surgery.Some newer types of mastectomy procedures might not remove the skin or nipple. For instance, a skin-sparing mastectomy leaves some skin. A nipple-sparing mastectomy leaves the nipple and the skin around it, called the areola. These newer operations can improve the look of the breast after surgery, but they aren't options for everyone."
Female Breast Cancer,"Removing a few lymph nodes.A sentinel node biopsy is an operation to take out some lymph nodes for testing. When breast cancer spreads, it often goes to the nearby lymph nodes first. To see if the cancer has spread, a surgeon removes some of the lymph nodes near the cancer. If no cancer is found in those lymph nodes, the chance of finding cancer in any of the other lymph nodes is small. No other lymph nodes need to be removed."
Female Breast Cancer,Removing several lymph nodes.Axillary lymph node dissection is an operation to remove many lymph nodes from the armpit. Your breast cancer surgery might include this operation if imaging tests show the cancer has spread to the lymph nodes. It also might be used if cancer is found in a sentinel node biopsy.
Female Breast Cancer,"Removing both breasts.Some people who have cancer in one breast may choose to have their other breast removed, even if it doesn't have cancer. This procedure is called a contralateral prophylactic mastectomy. It might be an option if you have a high risk of getting cancer in the other breast. The risk might be high if you have a strong family history of cancer or have DNA changes that increase the risk of cancer. Most people with breast cancer in one breast will never get cancer in the other breast."
Cervical Cancer,"Surgery to cut away the cancer only.For a very small cervical cancer, it might be possible to remove all the cancer with a cone biopsy. This procedure involves cutting away a cone-shaped piece of cervical tissue and leaving the rest of the cervix intact. This option may make it possible for you to consider becoming pregnant in the future."
Cervical Cancer,"Surgery to remove the cervix, called a trachelectomy.A small cervical cancer might be treated with a radical trachelectomy procedure. This procedure removes the cervix and some surrounding tissue. The uterus remains after this procedure, so it may be possible to become pregnant, if you choose."
Cervical Cancer,"Surgery to remove the cervix and uterus, called a hysterectomy.Most cervical cancers that have not spread beyond the cervix are treated with a radical hysterectomy operation. This involves removing the cervix, uterus, part of the vagina and nearby lymph nodes. A hysterectomy can often cure the cancer and stop it from coming back. But removing the uterus makes it impossible to become pregnant."
Colorectal Cancer,"Removing very small cancers from the inside of the rectum.Very small rectal cancers may be removed using a colonoscope or another specialized type of scope inserted through the anus. This procedure is called transanal local excision. Surgical tools can be passed through the scope to cut away the cancer and some of the healthy tissue around it.This procedure might be an option if your cancer is small and not likely to spread to nearby lymph nodes. If a lab exam of your cancer cells shows that they are aggressive or more likely to spread to the lymph nodes, additional surgery may be needed."
Colorectal Cancer,"Removing all or part of the rectum.Larger rectal cancers that are far enough away from the anus might be removed in a procedure that removes all or part of the rectum. This procedure is called low anterior resection. Nearby tissue and lymph nodes also are removed. This procedure preserves the anus so that waste can leave the body as it usually would.How the procedure is performed depends on the cancer's location. If cancer affects the upper portion of the rectum, that part of the rectum is removed. The colon is then attached to the remaining rectum. This is called colorectal anastomosis. All of the rectum may be removed if the cancer is in the lower portion of the rectum. Then the colon is shaped into a pouch and attached to the anus, called coloanal anastomosis."
